Country,POL,VAR,Pollutant,Year,Value,Emission Group
Australia,GHG,TOTAL,Greenhouse gases,1990,424998.381,high
Australia,GHG,TOTAL,Greenhouse gases,1991,426015.21,high
Australia,GHG,TOTAL,Greenhouse gases,1992,430216.38,high
Australia,GHG,TOTAL,Greenhouse gases,1993,430612.55600000004,high
Australia,GHG,TOTAL,Greenhouse gases,1994,430653.33200000005,high
Australia,GHG,TOTAL,Greenhouse gases,1995,439004.901,high
Australia,GHG,TOTAL,Greenhouse gases,1996,446681.85,high
Australia,GHG,TOTAL,Greenhouse gases,1997,458841.602,high
Australia,GHG,TOTAL,Greenhouse gases,1998,472629.669,high
Australia,GHG,TOTAL,Greenhouse gases,1999,478199.841,high
Australia,GHG,TOTAL,Greenhouse gases,2000,489373.842,high
Australia,GHG,TOTAL,Greenhouse gases,2001,496982.31,high
Australia,GHG,TOTAL,Greenhouse gases,2002,500807.88899999997,high
Australia,GHG,TOTAL,Greenhouse gases,2003,502301.775,high
Australia,GHG,TOTAL,Greenhouse gases,2004,520315.18200000003,high
Australia,GHG,TOTAL,Greenhouse gases,2005,526206.973,high
Australia,GHG,TOTAL,Greenhouse gases,2006,530787.988,high
Australia,GHG,TOTAL,Greenhouse gases,2007,536888.6020000001,high
Australia,GHG,TOTAL,Greenhouse gases,2008,540669.0,high
Australia,GHG,TOTAL,Greenhouse gases,2009,544285.462,high
Australia,GHG,TOTAL,Greenhouse gases,2010,540571.41,high
Australia,GHG,TOTAL,Greenhouse gases,2011,542511.918,high
Australia,GHG,TOTAL,Greenhouse gases,2012,544732.756,high
Australia,GHG,TOTAL,Greenhouse gases,2013,535006.814,high
Australia,GHG,TOTAL,Greenhouse gases,2014,530411.0179999999,high
Australia,GHG,TOTAL,Greenhouse gases,2015,538618.7760000001,high
Australia,GHG,TOTAL,Greenhouse gases,2016,548862.546,high
Australia,GHG,TOTAL,Greenhouse gases,2017,556612.265,high
Australia,GHG,TOTAL,Greenhouse gases,2018,558047.22,high
Australia,GHG,GHG_CAP,Greenhouse gases,1990,25.058000000000003,high
Australia,GHG,GHG_CAP,Greenhouse gases,1991,24.784000000000002,high
Australia,GHG,GHG_CAP,Greenhouse gases,1992,24.721999999999998,high
Australia,GHG,GHG_CAP,Greenhouse gases,1993,24.462,high
Australia,GHG,GHG_CAP,Greenhouse gases,1994,24.195999999999998,high
Australia,GHG,GHG_CAP,Greenhouse gases,1995,24.399,high
Australia,GHG,GHG_CAP,Greenhouse gases,1996,24.557,high
Australia,GHG,GHG_CAP,Greenhouse gases,1997,24.954,high
Australia,GHG,GHG_CAP,Greenhouse gases,1998,25.428,high
Australia,GHG,GHG_CAP,Greenhouse gases,1999,25.451999999999998,high
Australia,GHG,GHG_CAP,Greenhouse gases,2000,25.768,high
Australia,GHG,GHG_CAP,Greenhouse gases,2001,25.892,high
Australia,GHG,GHG_CAP,Greenhouse gases,2002,25.813000000000002,high
Australia,GHG,GHG_CAP,Greenhouse gases,2003,25.596,high
Australia,GHG,GHG_CAP,Greenhouse gases,2004,26.173000000000002,high
Australia,GHG,GHG_CAP,Greenhouse gases,2005,26.078000000000003,high
